,,,,"    Menu Mix Category Detail 
 Summary",,,,,,,,,
All Stores,,,,,,,,,,,,,
Report Range: 9/26/2022 - 10/2/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,Qty.,,Item Sales,,,,,
,,,,,,,,,,,,,
,Appetizers,,,,,,,,,,,,
,69051,Skinny Marg,,,,54.00,,$479.00,,,,,
,69006,Strawberr Marg,,,,46.00,,$424.00,,,,,
,69023,BBerry Marg,,,,44.00,,$420.00,,,,,
,68005,Si Se Puede,,,,27.00,,$243.00,,,,,
,69025,La Muerta,,,,17.00,,$153.00,,,,,
,69026,Child's Play,,,,16.00,,$144.00,,,,,
,60007,Tito's,,,,14.00,,$112.00,,,,,
,69024,Mr Harless,,,,12.00,,$108.00,,,,,
,63022,Casa Silver,,,,8.00,,$104.00,,,,,
,69011,El Jefe,,,,8.00,,$72.00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,69017,Bloody Maria,,,,8.00,,$72.00,,,,,
,95903,PALOMA,,,,8.00,,$16.00,,,,,
,63041,Exotico S,,,,7.00,,$48.00,,,,,
,69001,LIT,,,,7.00,,$70.00,,,,,
,63047,Casamigos M,,,,6.00,,$90.00,,,,,
,69009,Pink Lady,,,,6.00,,$54.00,,,,,
,95022,Soda,,,,6.00,,$0.00,,,,,
,95008,Lime,,,,5.00,,$0.00,,,,,
,63035,Del Maguey,,,,4.00,,$32.00,,,,,
,63038,Cazadores S,,,,4.00,,$32.00,,,,,
,64005,Maker's Mark,,,,4.00,,$32.00,,,,,
,60108,Dbl Deep Eddy,,,,3.00,,$48.00,,,,,
,63029,Milagro S,,,,3.00,,$24.00,,,,,
,63323,F-Camarena R,,,,3.00,,$9.00,,,,,
,63341,F-1942 ES,,,,3.00,,$33.00,,,,,
,69013,Devil Handshak,,,,3.00,,$27.00,,,,,
,69014,Calacas,,,,3.00,,$27.00,,,,,
,69020,Mordo Rouge,,,,3.00,,$27.00,,,,,
,95006,Salt,,,,3.00,,$0.00,,,,,
,95037,Chilled,,,,3.00,,$0.00,,,,,
,95511,Mule,,,,3.00,,$6.00,,,,,
,95602,OLD FASHIONED,,,,3.00,,$8.00,,,,,
,60008,Deep Eddy,,,,2.00,,$16.00,,,,,
,63002,Alto's Silver,,,,2.00,,$16.00,,,,,
,63023,Casa Rep,,,,2.00,,$26.00,,,,,
,63033,Don Julio,,,,2.00,,$64.00,,,,,
,63042,Teremana S,,,,2.00,,$20.00,,,,,
,63312,F-Teremana S,,,,2.00,,$8.00,,,,,
,63322,F-Casamigos R,,,,2.00,,$10.00,,,,,
,63329,F-Patron R,,,,2.00,,$10.00,,,,,
,63330,F-Clase Azul R,,,,2.00,,$24.00,,,,,
,63332,F-Casamigo A,,,,2.00,,$10.00,,,,,
,64008,Woodford,,,,2.00,,$24.00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,69010,Ranch Water,,,,2.00,,$18.00,,,,,
,69027,ALasEstrellas,,,,2.00,,$18.00,,,,,
,69053,StrawberryInfus,,,,2.00,,$16.00,,,,,
,95505,BLOODY MARY,,,,2.00,,$4.00,,,,,
,60005,Ketel,,,,1.00,,$10.00,,,,,
,61002,Sapphire,,,,1.00,,$7.00,,,,,
,62001,Well Rum,,,,1.00,,$6.00,,,,,
,62004,Kraken,,,,1.00,,$8.00,,,,,
,63009,Mi Campo S,,,,1.00,,$8.00,,,,,
,63024,Casa Anejo,,,,1.00,,$14.00,,,,,
,63030,Milagro R,,,,1.00,,$9.00,,,,,
,63303,F-Camarena S,,,,1.00,,$3.00,,,,,
,63308,F-Casamigos S,,,,1.00,,$4.00,,,,,
,63309,F-Espolon S,,,,1.00,,$3.00,,,,,
,63313,F-Corralejo S,,,,1.00,,$3.00,,,,,
,63315,F-Mi Campo S,,,,1.00,,$3.00,,,,,
,63320,F-Cazadores S,,,,1.00,,$3.00,,,,,
,63326,F-Espolon R,,,,1.00,,$4.00,,,,,
,63335,F-Sauza Gen A,,,,1.00,,$5.00,,,,,
,63347,F-Creyente M,,,,1.00,,$4.00,,,,,
,95001,Rocks,,,,1.00,,$0.00,,,,,
,95007,Sugar,,,,1.00,,$0.00,,,,,
,95020,Water,,,,1.00,,$0.00,,,,,
,95023,Tonic,,,,1.00,,$0.00,,,,,
,95034,Orange,,,,1.00,,$0.00,,,,,
