Menu Mix Item Sales,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,,,,,,,,
  ID,Short Name,Chit Name,,Central Mesa,,,,
0.00 14020,Pick 3,Pick 3,,0.00,,,,
0.00 14023,Chx Quesadilla,Quesadilla,,210.00,,,,
210.00 14024,Scotty,Scotty,,0.00,,,,
0.00 14025,Chz Quesadilla,Chz Quesadilla,,0.00,,,,
0.00 14026,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14027,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14028,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14029,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14030,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14031,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14032,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14033,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14034,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14035,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14036,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14037,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14038,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14039,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14040,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14041,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14042,**ENTREES**,**ENTREES**,,0.00,,,,
0.00 14043,Stk and Eggs,Stk and Eggs,,0.00,,,,
0.00 14044,Brunch Bowl,Brunch Bowl,,0.00,,,,
0.00 14045,Brunch Melt,Brunch Melt,,0.00,,,,
0.00 14046,Hot Waffles,Hot Waffles,,0.00,,,,
0.00 14047,Hot Tacos,Hot Tacos,,0.00,,,,
0.00 14048,Huevos,Huevos,,0.00,,,,
0.00 14049,Brunch Burrito,Brunch Burrito,,0.00,,,,
0.00 14050,Chilaquiles,Chilaquiles,,0.00,,,,
0.00 50000,**BEER**,**BEER**,,0.00,,,,
0.00 50001,Bud LT,Bud LT,,0.00,,,,
0.00 50002,Bud,Bud,,0.00,,,,
0.00 50003,Coors LT,Coors LT,,11.00,,,,
11.00 50004,Miller LT,Miller LT,,0.00,,,,
0.00 50005,Mich Ultra,Mich Ultra,,31.00,,,,
31.00 50006,Modelo,Modelo,,19.00,,,,
19.00 50007,XX Lager,XX Lager,,10.00,,,,
10.00 50008,Tecate LT,Tecate LT,,0.00,,,,
0.00 50009,Sol,Sol,,0.00,,,,
0.00 50010,Corona,Corona,,9.00,,,,
9.00 50011,Corona Lite,Corona Lite,,4.00,,,,
4.00 50012,TT IPA,TT IPA,,0.00,,,,
0.00 50013,Stone IPA,Stone IPA,,0.00,,,,
0.00 50014,Stone Buenaves,Stone Buenavesa,,0.00,,,,
0.00 50015,Taco Tuesday,Taco Tuesday,,0.00,,,,
0.00 50016,Yazo Dos Perro,Yazoo Dos Perro,,0.00,,,,
0.00 50017,Bebida Cerveza,Bebidas Cerveza,,0.00,,,,
0.00 50018,Stone Seltzer,Stone Seltzer,,0.00,,,,
0.00 50019,WW IPA,WW IPA,,0.00,,,,
0.00 50020,BW Guerrero,BW Guerrero,,0.00,,,,
0.00 50021,Estrella,Estrella,,0.00,,,,
0.00 50022,Hi Wire IPA,Hi Wire IPA,,0.00,,,,
0.00 50023,**BEER**,**BEER**,,0.00,,,,
0.00 50024,**BEER**,**BEER**,,0.00,,,,
0.00 50025,**BEER**,**BEER**,,0.00,,,,
0.00 50026,**BEER**,**BEER**,,0.00,,,,
0.00 50027,**BEER**,**BEER**,,0.00,,,,
0.00 50028,**BEER**,**BEER**,,0.00,,,,
0.00 50029,**BEER**,**BEER**,,0.00,,,,
0.00 50030,**BEER**,**BEER**,,0.00,,,,
0.00 50031,**BEER**,**BEER**,,0.00,,,,
0.00 50032,**BEER**,**BEER**,,0.00,,,,
0.00 50033,**BEER**,**BEER**,,0.00,,,,
0.00 50034,**BEER**,**BEER**,,0.00,,,,
0.00 50035,**BEER**,**BEER**,,0.00,,,,
0.00 50036,**BEER**,**BEER**,,0.00,,,,
0.00 50037,**BEER**,**BEER**,,0.00,,,,
0.00 50038,**BEER**,**BEER**,,0.00,,,,
0.00 50039,**BEER**,**BEER**,,0.00,,,,
0.00 50040,**BEER**,**BEER**,,0.00,,,,
0.00 50041,**BEER**,**BEER**,,0.00,,,,
0.00 50042,**BEER**,**BEER**,,0.00,,,,
0.00 50043,**BEER**,**BEER**,,0.00,,,,
0.00 50044,**BEER**,**BEER**,,0.00,,,,
0.00 50045,**BEER**,**BEER**,,0.00,,,,
0.00 50046,**BEER**,**BEER**,,0.00,,,,
0.00 50047,**BEER**,**BEER**,,0.00,,,,
0.00 50048,**BEER**,**BEER**,,0.00,,,,
0.00 50049,**BEER**,**BEER**,,0.00,,,,
0.00 50050,**BEER**,**BEER**,,0.00,,,,
0.00 60000,**LIQUOR**,**LIQUOR**,,0.00,,,,
0.00 60001,***VODKA***,***VODKA***,,0.00,,,,
0.00 60002,Well Vodka,Well Vodka,,0.00,,,,
0.00 60003,New Am Vdka,New Am Vdka,,0.00,,,,
0.00 60004,Stoli,Stoli,,0.00,,,,
0.00 60005,Ketel,Ketel,,0.00,,,,
0.00 60006,Goose,Goose,,0.00,,,,
0.00 60007,Tito's,Tito's,,8.00,,,,
8.00 60008,Deep Eddy,Deep Eddy,,0.00,,,,
0.00 60009,***VODKA***,***VODKA***,,0.00,,,,
0.00 60010,***VODKA***,***VODKA***,,0.00,,,,
0.00 60011,***VODKA***,***VODKA***,,0.00,,,,
0.00 60012,***VODKA***,***VODKA***,,0.00,,,,
0.00 60013,***VODKA***,***VODKA***,,0.00,,,,
0.00 60014,***VODKA***,***VODKA***,,0.00,,,,
0.00 60015,***VODKA***,***VODKA***,,0.00,,,,
0.00 60101,***DBL VODKA***,***DBL VODKA***,,0.00,,,,
0.00 60102,D-Well Vodka,D-Well Vodka,,0.00,,,,
0.00 60103,D-New Am Vdka,D-New Am Vdka,,0.00,,,,
0.00 60104,D-Stoli,D-Stoli,,0.00,,,,
0.00 60105,D-Ketel,D-Ketel,,0.00,,,,
0.00 60106,D-Goose,D-Goose,,0.00,,,,
0.00 60107,D-Tito's,D-Tito's,,0.00,,,,
0.00 60108,Dbl Deep Eddy,Dbl Deep Eddy,,0.00,,,,
0.00 60109,***DBL VODKA***,***DBL VODKA***,,0.00,,,,
0.00 60110,***DBL VODKA***,***DBL VODKA***,,0.00,,,,
0.00 60111,***DBL VODKA***,***DBL VODKA***,,0.00,,,,
0.00 60112,***DBL VODKA***,***DBL VODKA***,,0.00,,,,
0.00 60113,***DBL VODKA***,***DBL VODKA***,,0.00,,,,
0.00 60114,***DBL VODKA***,***DBL VODKA***,,0.00,,,,
0.00 60115,***DBL VODKA***,***DBL VODKA***,,0.00,,,,
0.00 60201,***RX VODKA***,***RX VODKA***,,0.00,,,,
0.00 60202,R-Well Vodka,R-Well Vodka,,0.00,,,,
0.00 60203,R-New Am Vdka,R-New Am Vdka,,0.00,,,,
0.00 60204,R-Stoli,R-Stoli,,0.00,,,,
0.00 60205,R-Ketel,R-Ketel,,0.00,,,,
0.00 60206,R-Goose,R-Goose,,0.00,,,,
0.00 60207,R-Tito's,R-Tito's,,0.00,,,,
0.00 60208,Rox Deep Eddy,Rox Deep Eddy,,0.00,,,,
0.00 60209,***RX VODKA***,***RX VODKA***,,0.00,,,,
0.00 60210,***RX VODKA***,***RX VODKA***,,0.00,,,,
0.00 60211,***RX VODKA***,***RX VODKA***,,0.00,,,,
0.00 60212,***RX VODKA***,***RX VODKA***,,0.00,,,,
0.00 60213,***RX VODKA***,***RX VODKA***,,0.00,,,,
0.00 60214,***RX VODKA***,***RX VODKA***,,0.00,,,,
0.00 60215,***RX VODKA***,***RX VODKA***,,0.00,,,,
0.00 61000,***GIN***,***GIN***,,0.00,,,,
0.00 61001,Well Gin,Well Gin,,0.00,,,,
0.00 61002,Sapphire,Sapphire,,0.00,,,,
0.00 61003,Hendrick's,Hendrick's,,0.00,,,,
0.00 61004,***GIN***,***GIN***,,0.00,,,,
0.00 61005,***GIN***,***GIN***,,0.00,,,,
0.00 61006,***GIN***,***GIN***,,0.00,,,,
0.00 61007,***GIN***,***GIN***,,0.00,,,,
0.00 61008,***GIN***,***GIN***,,0.00,,,,
0.00 61009,***GIN***,***GIN***,,0.00,,,,
0.00 61010,***GIN***,***GIN***,,0.00,,,,
0.00 61101,***DBL GIN***,***DBL GIN***,,0.00,,,,
0.00 61102,D-Well Gin,D-Well Gin,,0.00,,,,
0.00 61103,D-Sapphire,D-Sapphire,,0.00,,,,
0.00 61104,D-Hendrick's,D-Hendrick's,,0.00,,,,
0.00 61105,***DBL GIN***,***DBL GIN***,,0.00,,,,
0.00 61106,***DBL GIN***,***DBL GIN***,,0.00,,,,
0.00 61107,***DBL GIN***,***DBL GIN***,,0.00,,,,
0.00 61108,***DBL GIN***,***DBL GIN***,,0.00,,,,
0.00 61109,***DBL GIN***,***DBL GIN***,,0.00,,,,
0.00 61110,***DBL GIN***,***DBL GIN***,,0.00,,,,
